Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Volkswagen Saveiro 1.6 Gp Ce 101cv Safety,Capital Federal,Volkswagen,Saveiro,2014,1.6 Gp Ce 101cv Safety,,Nafta,2,Manual,1.6,Pick-Up,125000,,,Hidráulica,Delantera,2,55 L,101,4493,1497,1708,2750 mm,15000000
"Dodge Journey 2.4 Sxt 170cv (techo, Dvd, Nav)",Bs.As. G.B.A. Norte,Dodge,Journey,2017,,Negro,Nafta,5,Automática,2.4,SUV,100745,Sí,Sí,Hidráulica,4x2,5,78 L,170,4888,1691,1877,2947 mm,20000
Renault Sandero Stepway 1.6 16v Intense,Bs.As. G.B.A. Oeste,Renault,Sandero Stepway,2024,1.6 16v Intense,Rojo,Nafta,5,Manual,1.6,Hatchback,10800,Sí,,Hidráulica,Delantera,5,50 L,115,4066,1559,1761,2590 mm,17000
Volkswagen Gol Trend 1.6 Trendline 101cv,Capital Federal,Volkswagen,Gol Trend,2021,1.6 Trendline 101cv,,Nafta,5,Manual,1.6,Hatchback,84000,,,,Delantera,5,55 L,101,3899,1464,1656,2466 mm,12000
Fiat Punto 1.6 Essence,Córdoba,Fiat,Punto,2013,1.6 Essence,,Nafta,5,Manual,1.6,Hatchback,122000,No,Sí,Hidráulica,Delantera,5,60 L,115,4030,1505,1687,2510 mm,11000000
Chevrolet Tracker 1.2 Ltz Turbo At,Chaco,Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Negro,Nafta,5,Automática,1.2,SUV,24095,Sí,Sí,Eléctrica,4x2,5,44 L,132,4270,1626,1791,2570 mm,26500000
Ford Focus III 2.0 Se Plus Mt,Bs.As. G.B.A. Sur,Ford,Focus III,2015,2.0 Se Plus Mt,Rojo,Nafta,5,Manual,2.0,Hatchback,83000,Sí,,Asistida,Delantera,5,55 L,170,4412,1484,1733,2634 mm,13500
Volkswagen Gol Trend 1.6 Trendline 101cv,Bs.As. Costa Atlántica,Volkswagen,Gol Trend,2020,1.6 Trendline 101cv,,Nafta,5,Manual,1.6,Hatchback,78000,,,,Delantera,5,55 L,101,3899,1464,1656,2466 mm,13300
Ford Ranger 2.2 Cd Xl Tdci 125cv 4x2,Bs.As. G.B.A. Sur,Ford,Ranger,2019,2.2 Cd Xl Tdci 125cv 4x2,Gris oscuro,Diésel,4,Manual,4,Pick-Up,40700,No,Sí,hydraulic,4x2,3,,,,,,,23000
Toyota Corolla 1.8 Se-g Cvt 140cv,Bs.As. G.B.A. Oeste,Toyota,Corolla,2020,1.8 Se-g Cvt 140cv,Blanco,Nafta,4,Automática,1.8,Sedán,80000,Sí,,Eléctrica,Delantera,5,57 L,140,4620,1460,1775,2700 mm,21900
Volkswagen Suran 1.6 Imotion Highline 110cv,Capital Federal,Volkswagen,Suran,2019,1.6 Imotion Highline 110cv,Blanco,Nafta,5,Automática,1.6,Monovolumen,66000,,Sí,Hidráulica,Delantera,5,50 L,110,4204,1585,1660,2467 mm,17500
Volkswagen Amarok 3.0 V6 Extreme,Bs.As. G.B.A. Sur,Volkswagen,Amarok,2023,3.0 V6 Extreme,Blanco,Diésel,4,Automática,3.0,Pick-Up,25000,,,,4x4,5,80 L,224,5254,1834,1944,3095 mm,43000
Volkswagen Bora 1.8 T Highline,Bs.As. G.B.A. Norte,Volkswagen,Bora,2008,1.8 T Highline,,Nafta,4,Manual,1.8,Sedán,125000,,,Hidráulica,Delantera,5,55 L,180,4376,1446,1735,2518 mm,8900
Honda CR-V 2.4 4x2 Lx At,Bs.As. G.B.A. Norte,Honda,CR-V,2007,2.4 4x2 Lx At,,Nafta,5,Automática,2.4,SUV,298000,,,,4x2,5,58 L,185,4520,1680,1656,2465 mm,9200
Volkswagen Tiguan Allspace 1.4 Tsi Trendline 150cv Dsg,Entre Ríos,Volkswagen,Tiguan Allspace,2019,1.4 Tsi Trendline 150cv Dsg,,Nafta,5,Automática,1.4,SUV,110000,Sí,,Asistida,4x4,5,64 L,150,4427,1683,1809,2604 mm,28000000
Volkswagen Vento 2.0 Tsi Gli 211Cv App Connect + Nav Dsg,Capital Federal,Volkswagen,Vento,2016,,Gris,Nafta,4,Automática,2.0,Sedán,90000,Sí,Sí,Hidráulica,Delantera,5,55 L,211,4659,1473,1778,2651 mm,22000
Toyota Hilux Pick-up Srv Aut,Buenos Aires Interior,Toyota,Hilux Pick-Up,2019,srv Aut,,Diésel,4,,,,215000,,,,,,,,,,,,36000000
Rav 4 Cvt Limited Hybrid,Capital Federal,Toyota,RAV4,2020,CVT Limited Hybrid,Blanco,Híbrido/Nafta,5,,,SUV,80000,,,Eléctrica,,,,,,,,,39500
Peugeot 408 1.6 Feline Thp 163cv Tiptronic,Capital Federal,Peugeot,408,2016,1.6 Feline Thp 163cv Tiptronic,Blanco,Nafta,4,Automática,1.6,Sedán,87000,Sí,Sí,Eléctrica,Delantera,5,60 L,163,4690,1505,1800,2710 mm,10899
Ford Ka 1.5 Sel 5 p,Capital Federal,Ford,Ka,2019,1.5 Sel 5 p,,Nafta,5,Manual,1.5,Hatchback,59000,,,Eléctrica,Delantera,5,51 L,123,3969,1464,1777,2686 mm,13500
Peugeot 206 1.6 Xr Premium,Ubicación no encontrada,Peugeot,206,2004,1.6 Xr Premium,Plateado,Nafta,3,Manual,1.6,Hatchback,245000,,,,Delantera,5,50 L,90,3835,1432,1652,2442 mm,5200000
Volkswagen Voyage 1.6 Trenline 101cv,Capital Federal,Volkswagen,Voyage,2017,1.6 Trenline 101cv,,Nafta,4,Manual,1.6,Sedán,115000,,,,Delantera,5,55 L,101,4230,1464,1656,2467 mm,9800
Chevrolet Cruze LT AT 2022,Bs.As. G.B.A. Sur,Chevrolet,Cruze,2022,LT AT 2022,Blanco,Nafta,5,Automática,1.4,Hatchback,90757,Sí,Sí,Hidráulica,Delantera,5,52 L,153,4665,1484,2042,2700 mm,25172000
Jeep Renegade 2.4 Longitude At,Bs.As. G.B.A. Norte,Jeep,Renegade,2017,2.4 Longitude At,,Nafta,5,Automática,2.4,SUV,130000,Sí,,Hidráulica,4x4,5,60 L,217,4624,1670,2359,2570 mm,18200
BMW Serie 2 2.0 220i Sport Lci 184cv Coupé,Córdoba,BMW,Serie 2,2023,2.0 220i Sport Lci 184cv Coupé,,Nafta,2,Automática,2.0,Coupé,1400,,Sí,Asistida,Trasera,4,52 L,184,4432,1423,1756,2600 mm,66000
Peugeot 2008 1.6 Allure,Córdoba,Peugeot,2008,2017,1.6 Allure,Blanco,Nafta/GNC,5,Manual,1.6,SUV,80000,,,Eléctrica,Delantera,5,55 L,115,4159,1583,1739,2542 mm,16900000
Ford Ka 1.6 Fly Viral 95cv,Bs.As. G.B.A. Sur,Ford,Ka,2013,1.6 Fly Viral 95cv,Blanco,Nafta,3,Manual,1.6,Hatchback,82000,No,Sí,Hidráulica,Delantera,5,45 L,95,3836,1420,1777,2686 mm,8900000
Fiat Fiorino 1.4 Fire Evo 87cv,Capital Federal,Fiat,Fiorino,2015,1.4 Fire Evo 87cv,,Nafta,3,Manual,1.4,Furgón,146000,,Sí,Hidráulica,Delantera,2,64 L,87,4184,1873,1780,2699 mm,9500
Chevrolet Onix 1.0 Turbo Ltz Mt,Capital Federal,Chevrolet,Onix,2024,1.0 Turbo Ltz Mt,Blanco,Nafta,5,Manual,1.0,Hatchback,1000,No,Sí,Asistida,Delantera,5,54 L,116,3930,1484,1656,2465 mm,25990000
Ford Ranger 2.0 Cd 4X2 Xls 170Cv,Bs.As. G.B.A. Norte,Ford,Ranger,2023,2.0 Cd 4X2 Xls 170Cv,,Diésel,4,Manual,2.0,Pick-Up,6500,,,,,,,170,,,,,39500000
Audi A3 2.0 Tfsi Sedan 190cv,Bs.As. G.B.A. Oeste,Audi,A3,2019,2.0 Tfsi Sedan 190cv,Azul,Nafta,4,Automática,2.0,Sedán,61900,,Sí,Eléctrica,Delantera,5,55 L,190,4238,1421,1842,2468 mm,36499
Chevrolet Grand Vitara 2.0 At,Bs.As. G.B.A. Norte,Chevrolet,Grand Vitara,2002,2.0 At,Gris,Nafta,5,Automática,2.0,SUV,213990,,,Hidráulica,4x2,5,66 L,128,4500,1695,1810,2640 mm,10500
Peugeot 207 1.4 Allure Hdi 70cv,Bs.As. G.B.A. Norte,Peugeot,207,2013,1.4 Allure Hdi 70cv,Blanco,Diésel,5,Manual,1.4,Hatchback,119000,,Sí,Hidráulica,Delantera,5,50 L,70,3872,1441,1669,2443 mm,9500000
Honda CR-V 2.4 Lx 2wd 185cv At,Bs.As. G.B.A. Norte,Honda,CR-V,2016,2.4 Lx 2wd 185cv At,Plateado,Nafta,5,Automática,2.4,SUV,76800,Sí,Sí,Eléctrica,4x2,5,58 L,185,4530,1655,1804,2640 mm,22500
Peugeot 207 1.6 Xt,Capital Federal,Peugeot,207,2011,1.6 Xt,Gris,Nafta,5,Manual,1.6,Hatchback,125000,,Sí,Hidráulica,Delantera,5,50 L,110,3872,1441,1669,2443 mm,7700
Volkswagen Amarok 2.0 Cd Tdi 4x4 Highline Pack At C34,Bs.As. G.B.A. Sur,Volkswagen,Amarok,2014,2.0 Cd Tdi 4x4 Highline Pack At C34,,Diésel,4,Automática,2.0,Pick-Up,120000,Sí,,Hidráulica,4x4,5,80 L,180,5254,1834,1944,3095 mm,20500
Ford Ecosport 2.0 Gdi Titanium 170cv 4x2,Córdoba,Ford,Ecosport,2020,2.0 Gdi Titanium 170cv 4x2,Plateado,Nafta,5,Automática,2.0,SUV,58004,,Sí,Asistida,4x2,5,52 L,170,4241,1693,1821,2608 mm,28900000
Peugeot 207 1.4 Xt Hdi,Bs.As. G.B.A. Oeste,Peugeot,207,2012,1.4 Xt Hdi,Negro,Diésel,5,Manual,1.4,Hatchback,210000,,Sí,Hidráulica,Delantera,5,50 L,70,3872,1441,1669,2443 mm,4500
Ford Ranger 2.2 Cd Xl Tdci 150cv 4x4,Buenos Aires Interior,Ford,Ranger,2022,2.2 Cd Xl Tdci 150cv 4x4,,Diésel,4,Manual,2.2,Pick-Up,100000,,,Eléctrica,4x4,5,80 L,150,5359,1800,1860,3220 mm,31500000
Renault Duster Oroch 1.6 Outsider,San Luis,Renault,Duster Oroch,2020,1.6 Outsider,Gris,Nafta,4,Manual,1.6,Pick-Up,164000,No,Sí,assisted,4x2,5,50 L,110,4329,1683,1821,2829 mm,19500000
Fiat Siena 1.4 Attractive C/alarma Rstii,Capital Federal,Fiat,Siena,2011,,Blanco,Nafta,4,Manual,1.4,Sedán,120000,,Sí,Hidráulica,Delantera,5,48 L,82,4155,1437,1795,2775 mm,8500000
Peugeot 408 2.0 Allure Nav 143cv,Bs.As. G.B.A. Sur,Peugeot,408,2013,2.0 Allure Nav 143cv,,Nafta,4,Manual,2.0,Sedán,173000,,,Asistida,Delantera,5,60 L,143,4690,1505,1815,2710 mm,10500
