Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Toyota Etios 1.5 Sedan Xls At,Bs.As. G.B.A. Norte,Toyota,Etios,2022,1.5 Sedan Xls At,,Nafta,4,Automática,1.5,Sedán,27800,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,15900
Peugeot 2008 1.6 Feline,Capital Federal,Peugeot,2008,2021,1.6 Feline,Blanco,Nafta,5,Manual,1.6,SUV,56000,,,,Delantera,5,55 L,115,4159,1583,1739,2542 mm,22000000
Chevrolet Agile LT 1.4,Córdoba,Chevrolet,Agile,2010,LT 1.4,Negro,Nafta/GNC,5,Manual,1.4,Sedán,130000,No,Sí,Hidráulica,Delantera,5,54 L,92,4063,1549,1840,2750 mm,8700000
Ford Focus III 2.0 Se Plus At6,Bs.As. G.B.A. Sur,Ford,Focus III,2015,2.0 Se Plus At6,Blanco,Nafta,5,Automática,2.0,Hatchback,88000,Sí,,Asistida,Delantera,5,55 L,170,4412,1484,1742,2630 mm,15900000
Chevrolet Meriva 1.8 Gls,Capital Federal,Chevrolet,Meriva,2012,1.8 Gls,Gris,Nafta,5,Manual,1.8,Monovolumen,163000,,Sí,Hidráulica,Delantera,5,56 L,106,4042,1624,1645,2468 mm,5900
Renault Clio 1.2 Pack Plus,Bs.As. G.B.A. Sur,Renault,Clio,2008,1.2 Pack Plus,,Nafta,3,Manual,1.2,Hatchback,297000,,,Hidráulica,Delantera,5,50 L,75,3813,1417,1639,2472 mm,6400000
Hyundai Santa Fe 2.4 Seguridad 7as 6at 2wd,Río Negro,Hyundai,Santa Fe,2017,2.4 Seguridad 7as 6at 2wd,Plateado,Nafta,5,Automática,2.4,SUV,82000,,,,4x2,5,75 L,176,4675,1795,1890,2700 mm,34500000
Toyota SW4 2.8 Srx 177cv 4x4 7as,Bs.As. G.B.A. Sur,Toyota,SW4,2017,2.8 Srx 177cv 4x4 7as,Plateado,Diésel,5,Manual,2.8,SUV,152000,,,Hidráulica,4x4,7,80 L,177,4705,1850,1840,2750 mm,34500
Toyota Sw4 2017,Bs.As. Costa Atlántica,Toyota,SW4,2017,,,Diésel,4,Manual,2.8,SUV,104000,,,,,,,,,,,,31000
Nissan Versa 1.6 Sense Mt,Bs.As. G.B.A. Sur,Nissan,Versa,2015,1.6 Sense Mt,Blanco,Nafta,4,Manual,1.6,Sedán,115000,,,Hidráulica,Delantera,5,41 L,126,4465,1514,1695,2600 mm,11500000
Audi A3 1.4 Tfsi Stronic 125cv,Bs.As. G.B.A. Norte,Audi,A3,2017,1.4 Tfsi Stronic 125cv,,Nafta,5,Automática,1.4,Hatchback,72000,No,Sí,Asistida,Delantera,5,50 L,122,4237,1421,1842,2468 mm,26800
Peugeot 308 1.6 S Gti,San Luis,Peugeot,308,2017,1.6 S Gti,,Nafta,5,Manual,1.6,Hatchback,52500,Sí,,Eléctrica,Delantera,5,53 L,270,4253,1446,2043,2617 mm,26000
Hyundai H1 2.5 Premium 1 170cv Mt,Capital Federal,Hyundai,H1,2015,2.5 Premium 1 170cv Mt,Gris,Diésel,4,Manual,2.5,Monovolumen,45000,,Sí,,Trasera,12,75 L,170,5125,1925,1920,3201 mm,33000
Fiat 500 1.4 Sport 105cv,Bs.As. G.B.A. Oeste,Fiat,500,2014,1.4 Sport 105cv,Negro,Nafta,3,Manual,1.4,Hatchback,98000,Sí,Sí,Asistida,Delantera,4,40 L,105,3546,1492,1855,2640 mm,14850000
Peugeot 207 2.0 Sw Hdi Xt,Capital Federal,Peugeot,207,2010,2.0 Sw Hdi Xt,Plateado,Diésel,5,Manual,2.0,Rural,122500,,Sí,Hidráulica,Delantera,5,50 L,90,4073,1470,1669,2443 mm,6400
Fiat Siena 1.4 Fire Way,Bs.As. G.B.A. Sur,Fiat,Siena,2012,1.4 Fire Way,,Nafta,4,Manual,1.4,Sedán,119500,,No,Hidráulica,Delantera,5,48 L,82,4135,1453,1790,2685 mm,6400
Fiat Strada 1.6 Adventure Cd Pack Top,Buenos Aires Interior,Fiat,Strada,2015,1.6 Adventure Cd Pack Top,Gris,Nafta,3,Manual,1.6,Pick-Up,140000,,,Hidráulica,Delantera,4,58 L,115,4457,1648,1790,2630 mm,15500000
Citroen C4 Lx 2009,Bs.As. G.B.A. Norte,,C4,2009,Lx 1.4 16v,Azul,Nafta,5,Manual,,Hatchback,90000,No,Sí,Asistida,Delantera,,,,,,,,10000
Mitsubishi L200 2.4 Di-d High Power 181cv Cuero,Entre Ríos,Mitsubishi,L200,2018,2.4 Di-d High Power 181cv Cuero,Negro,Diésel,4,Automática,2.4,Pick-Up,70000,,Sí,,Delantera,5,90 L,181,5115,1780,1800,3000 mm,32000
Peugeot 207 1.4 Xs,Córdoba,Peugeot,207,2008,1.4 Xs,Gris,Nafta,5,Manual,1.4,Hatchback,145000,No,Sí,Hidráulica,Delantera,5,50 L,75,3872,1446,1720,2540 mm,5000
Citroën Aircross 1.6 Shine 115cv,Capital Federal,,Aircross,2016,1.6 Shine 115cv,Plateado,Nafta,5,Manual,1.6,Hatchback,83000,Sí,Sí,Eléctrica,Delantera,5,55 L,115,4280,1753,1730,2707 mm,6750000
Volkswagen Gol 1.4 Power 83cv,Bs.As. G.B.A. Sur,Volkswagen,Gol,2011,1.4 Power 83cv,Azul,Nafta,3,Manual,1.4,Hatchback,141000,,Sí,Hidráulica,Delantera,5,51 L,83,3951,1414,1645,2468 mm,6000
Renault Kangoo 1.6 2 Furgon Confort Cd Svt 1plc,Bs.As. G.B.A. Sur,Renault,Kangoo,2011,1.6 2 Furgon Confort Cd Svt 1plc,Rojo,Nafta,3,Manual,1.6,Furgón,103000,,,Hidráulica,Delantera,2,52 L,95,4010,1860,1672,2600 mm,8900000
Toyota Hilux Pick-Up 2.8 Cd Gr-Sport 224Cv 4X4 At,Córdoba,Toyota,Hilux Pick-Up,2022,2.8 Cd Gr-Sport 224Cv 4X4 At,,Diésel,4,Automática,2.8,Pick-Up,3500,,,,4x4,5,80 L,224,5260,1850,1855,2860 mm,54000000
Volkswagen Tiguan Allspace 1.4 Tsi Trendline 150cv Dsg,Capital Federal,Volkswagen,Tiguan Allspace,2021,1.4 Tsi Trendline 150cv Dsg,Gris,Nafta,5,Automática,1.4,SUV,82200,Sí,,Asistida,4x4,5,64 L,150,4427,1683,1809,2604 mm,34000000
Ford Focus III 1.6 S,Bs.As. G.B.A. Sur,Ford,Focus III,2017,1.6 S,Rojo,Nafta,5,Manual,1.6,Hatchback,100000,,,Eléctrica,Delantera,5,55 L,125,4412,1484,1832,2762 mm,18300000
Hyundai Tucson 2.0 Premium,Capital Federal,Hyundai,Tucson,2017,2.0 Premium,Plateado,Nafta,5,Automática,2.0,SUV,88000,,,,4x4,5,58 L,154,4410,1655,1830,2630 mm,20000
Peugeot 307 2.0 Hdi Xs Premium 110cv Mp3,Buenos Aires Interior,Peugeot,307,2009,2.0 Hdi Xs Premium 110cv Mp3,,Diésel,5,Manual,2.0,Hatchback,178000,Sí,,Hidráulica,Delantera,5,60 L,110,4211,1509,1762,2608 mm,7600000
Toyota Corolla 1.8 Se-g Cvt 140cv,Formosa,Toyota,Corolla,2019,1.8 Se-g Cvt 140cv,Plateado,Nafta,4,Automática,1.8,Sedán,135000,Sí,,Eléctrica,Delantera,5,57 L,140,4620,1460,1775,2700 mm,23000000
Bmw X1 1.8i,Capital Federal,BMW,X1,2018,1.8I S DRIVE,Gris,Nafta,5,Automática secuencial,1.8,SUV,28000,,Sí,Asistida,,,,,,,,,37900
Kia Sportage 2.0 Ex 154cv,Bs.As. Costa Atlántica,Kia,Sportage,2016,2.0 Ex 154cv,Blanco,Nafta,5,Manual,2.0,SUV,96000,Sí,,Eléctrica,Delantera,5,55 L,154,4445,1645,1855,2640 mm,22000
Ford Fiesta Kinetic 1.6 S Plus 120cv,Bs.As. G.B.A. Sur,Ford,Fiesta Kinetic,2015,1.6 S Plus 120cv,Rojo,Nafta,5,Manual,1.6,Hatchback,88163,Sí,Sí,Eléctrica,Delantera,5,45 L,120,4066,1473,1801,2895 mm,13200000
Renault Sandero 1.6 16v Life,Bs.As. G.B.A. Oeste,Renault,Sandero,2021,1.6 16v Life,,Nafta,5,Manual,1.6,Hatchback,29700,Sí,,Asistida,Delantera,5,50 L,115,4060,1536,1733,2590 mm,13000
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Bs.As. G.B.A. Sur,Toyota,Hilux,2016,2.8 Cd Srx 177cv 4x4 At,Blanco,Diésel,4,Automática,2.8,Pick-Up,150000,Sí,,Hidráulica,4x4,5,80 L,177,5260,1850,1855,2860 mm,39500000
BMW Serie 3 2.5 325i,Capital Federal,BMW,Serie 3,1995,2.5 325i,Blanco,Nafta,2,Manual,2.5,Cabriolet,89900,,Sí,Eléctrica,Trasera,5,63 L,192,4531,1421,1817,2760 mm,23500
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Trendline B34,Bs.As. G.B.A. Norte,Volkswagen,Amarok,2013,2.0 Cd Tdi 180cv 4x4 Trendline B34,,Diésel,4,Manual,2.0,Pick-Up,174000,Sí,,Hidráulica,4x4,5,80 L,180,5254,1834,1944,3095 mm,22000000
Fiat Cronos 1.3 Gse Drive,Bs.As. G.B.A. Sur,Fiat,Cronos,2021,1.3 Gse Drive,Blanco,Nafta,4,Manual,1.3,Sedán,38000,,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,17200000
Audi Q5 2.0 I 177cv Stronic Quattro,Capital Federal,Audi,Q5,2013,2.0 I 177cv Stronic Quattro,Negro,Diésel,5,Automática,2.0,SUV,199000,Sí,Sí,Asistida,Integral,5,75 L,177,4629,1653,1830,2728 mm,22900000
Renault Alaskan 2.3 Bit 16v Iconic At 4x4,Bs.As. G.B.A. Norte,Renault,Alaskan,2022,2.3 Bit 16v Iconic At 4x4,Blanco,Diésel,4,Automática,2.3,Pick-Up,40000,Sí,,Hidráulica,4x4,5,80 L,190,5230,1775,1850,3200 mm,45000000
Kia Sportage 2.0 Ex At 154cv 4x2,Bs.As. G.B.A. Norte,Kia,Sportage,2019,2.0 Ex At 154cv 4x2,Negro,Nafta,5,Automática,2.0,SUV,62000,Sí,,Eléctrica,4x2,5,62 L,154,4480,1655,1855,2670 mm,23800
Peugeot 307 1.6 Xs,Bs.As. G.B.A. Norte,Peugeot,307,2007,1.6 Xs,Gris,Nafta,4,Manual,1.6,Sedán,200000,,,,Delantera,5,60 L,110,4212,1520,1762,2608 mm,6500
Ford Escort 1.8 Clx,Capital Federal,Ford,Escort,1997,1.8 Clx,,Nafta,5,Manual,1.8,Hatchback,150000,,,Hidráulica,Delantera,5,64 L,115,4136,1346,1700,2523 mm,3100
Ford Fiesta Kinetic 1.6 Titanium,Bs.As. G.B.A. Sur,Ford,Fiesta Kinetic,2017,1.6 Titanium,Rojo,Nafta,5,Manual,1.6,Hatchback,65000,,Sí,Eléctrica,Delantera,5,47 L,120,4056,1476,1639,2472 mm,14500
Kia Sorento 2.2 Crdi Ex At 4x2,Bs.As. G.B.A. Norte,Kia,Sorento,2019,2.2 Crdi Ex At 4x2,Plateado,Diésel,5,Automática,2.2,SUV,150750,Sí,,Eléctrica,4x2,7,68 L,200,4685,1710,1885,2700 mm,34000000
Volkswagen Vento 2.0 Sportline Tsi 200cv,Bs.As. G.B.A. Oeste,Volkswagen,Vento,2011,2.0 Sportline Tsi 200cv,Negro,Nafta,4,Manual,2.0,Sedán,111800,Sí,Sí,Eléctrica,Delantera,5,55 L,200,4618,1453,1778,2651 mm,14600
Citroën C4 Cactus 1.6 Vti 115 Feel Pk,Bs.As. G.B.A. Sur,,C4 Cactus,2022,1.6 Vti 115 Feel Pk,Blanco,Nafta,5,Manual,1.6,SUV,8500,No,Sí,Eléctrica,Delantera,5,55 L,115,4170,1534,1979,2600 mm,20500
Mitsubishi L200 3.2 Cd Glx 180cv Airbag-abs,Capital Federal,Mitsubishi,L200,2018,3.2 Cd Glx 180cv Airbag-abs,Gris,Diésel,4,Manual,3.2,Pick-Up,106313,,Sí,,Delantera,5,90 L,180,5295,1760,1750,3000 mm,26250000
Toyota Corolla 1.8 Xei At Pack 136cv,Bs.As. G.B.A. Norte,Toyota,Corolla,2014,1.8 Xei At Pack 136cv,Blanco,Nafta,4,Automática,1.8,Sedán,149000,Sí,,Eléctrica,Delantera,5,57 L,136,4540,1465,1760,2600 mm,11000
Volkswagen Gol 1.6 Trendline,Bs.As. G.B.A. Sur,Volkswagen,Gol,2004,1.6 Trendline,Gris,Nafta,3,Manual,1.6,Hatchback,185000,,Sí,Hidráulica,Delantera,5,51 L,90,3916,1415,1640,2468 mm,6500000
Peugeot 207 1.4 Xr,Bs.As. G.B.A. Sur,Peugeot,207,2012,1.4 Xr,Gris,Nafta,4,Manual,1.4,Hatchback,177000,,Sí,Hidráulica,Delantera,5,50 L,75,3872,1441,1720,2540 mm,6000
Chevrolet Cruze 5p LTZ AT 1.4,Bs.As. G.B.A. Sur,Chevrolet,Cruze,2018,5p LTZ AT 1.4,Negro,Nafta,5,Automática,,Hatchback,50000,Sí,Sí,Hidráulica,Trasera,5,52 L,153,4665,1484,2042,2700 mm,17500
Fiat Palio 1.4 Fire,Bs.As. G.B.A. Norte,Fiat,Palio,2013,1.4 Fire,Azul,Nafta,5,Manual,1.4,Hatchback,73000,No,Sí,Mecánica,Delantera,5,48 L,82,3827,1444,1922,3000 mm,7300
Toyota Corolla 1.8 Se-g Cvt 140cv,Bs.As. G.B.A. Norte,Toyota,Corolla,2018,1.8 Se-g Cvt 140cv,Blanco,Nafta,4,Automática,1.8,Sedán,182000,Sí,,Eléctrica,Delantera,5,57 L,140,4620,1460,1775,2700 mm,22000000
Jeep Renegade 1.8 Sport,Córdoba,Jeep,Renegade,2017,1.8 Sport,,Nafta,5,Manual,1.8,SUV,76000,Sí,,Hidráulica,4x2,5,60 L,217,4624,1670,1798,2570 mm,23000000
Fiat Toro 2.0 Freedom 4x4,Bs.As. G.B.A. Sur,Fiat,Toro,2017,2.0 Freedom 4x4,Negro,Diésel,4,Manual,2.0,Pick-Up,178130,,,,4x4,5,60 L,170,4915,1690,1669,2443 mm,19303000
Toyota Yaris Gr,Bs.As. G.B.A. Norte,Toyota,Yaris,2021,GR,Blanco,Nafta,2,,,Coupé,5000,,,Asistida,,,,,,,,,55900
Hyundai Tucson 2.0 I Premium,Bs.As. Costa Atlántica,Hyundai,Tucson,2019,2.0 I Premium,Gris,Diésel,5,Manual,2.0,SUV,110000,Sí,Sí,,4x4,5,65 L,184,4325,1730,1830,2630 mm,27500
Peugeot 2008 1.6 Feline,Capital Federal,Peugeot,2008,2016,1.6 Feline,Blanco,Nafta,5,Manual,1.6,SUV,92000,,,,Delantera,5,55 L,115,4159,1583,1739,2542 mm,12900
Volkswagen Suran 1.6 Highline Msi 110cv,Capital Federal,Volkswagen,Suran,2018,1.6 Highline Msi 110cv,,Nafta,5,Manual,1.6,Monovolumen,77000,,,Hidráulica,Delantera,5,50 L,110,4204,1585,1660,2467 mm,16500000
Volkswagen T-Cross 1.0 200 Tsi Highline Aut,Capital Federal,Volkswagen,T-Cross,2024,1.0 200 Tsi Highline Aut,Negro,Nafta,5,Automática,1.0,SUV,11111,Sí,Sí,Eléctrica,4x2,5,64 L,116,4199,1598,1760,2651 mm,30000000
Volkswagen Tiguan 2.0 Tsi Sport Plus Ii Mt,Buenos Aires Interior,Volkswagen,Tiguan,2011,2.0 Tsi Sport Plus Ii Mt,,Nafta,5,Manual,2.0,SUV,118700,Sí,,Asistida,4x4,5,64 L,200,4427,1683,1809,2604 mm,14200
Ford Ranger DC 4X2 XL 2.2L D,Bs.As. Costa Atlántica,Ford,Ranger,2017,DC 4X2 XL 2.2L D,,Diésel,4,Manual,2.2,Pick-Up,121800,,,Eléctrica,4x2,5,80 L,125,5359,1800,1860,3220 mm,18000
Renault Captur 2.0 Zen,Bs.As. G.B.A. Sur,Renault,Captur,2018,2.0 Zen,,Nafta,5,Manual,2.0,SUV,50000,,,,Delantera,5,45 L,143,4122,1556,1778,2670 mm,19500000
Volkswagen Amarok 3.0 V6 Cd Highline,Buenos Aires Interior,Volkswagen,Amarok,2020,3.0 V6 Cd Highline,Gris,Diésel,4,Automática,3.0,Pick-Up,76000,,,,4x4,5,80 L,224,5254,1834,1944,3095 mm,46500000
Jeep Compass Serie S,Córdoba,Jeep,Compass,2024,Serie S,,Nafta,5,Automática,1.3,SUV,1500,,,,4x2,5,52 L,175,4404,1632,2033,2570 mm,44900000
Toyota RAV4 2.0 Tx,Corrientes,Toyota,RAV4,2017,2.0 Tx,Blanco,Nafta,5,Automática,2,SUV,61000,No,Sí,assisted,,5,,,,,,,33200000
Toyota Corolla 2.0 D Terra,Buenos Aires Interior,Toyota,Corolla,2002,2.0 D Terra,,Diésel,4,Manual,2.0,Sedán,350000,,,,Delantera,5,60 L,72,4540,1480,1760,2600 mm,5500000
Fiat Palio 1.4 Attractive 85cv,Córdoba,Fiat,Palio,2013,1.4 Attractive 85cv,Verde,Nafta,5,Manual,1.4,Hatchback,186000,,Sí,Hidráulica,Delantera,5,48 L,85,3875,1504,1922,4025 mm,10899000
Ford Territory 1.5t Titanium,Bs.As. G.B.A. Norte,Ford,Territory,2022,1.5t Titanium,Dorado,Nafta,5,Automática,1.5,SUV,8000,,,Asistida,Delantera,5,52 L,143,4580,1674,2179,2716 mm,36000
Nissan Note 1.6 Sr 110cv Cvt,Córdoba,Nissan,Note,2019,1.6 Sr 110cv Cvt,Blanco,Nafta,5,Automática,1.6,Hatchback,92000,,,Asistida,Delantera,5,41 L,110,4142,1537,1695,2600 mm,20500000
Volkswagen Suran 1.6 Comfortline 101cv,Bs.As. G.B.A. Norte,Volkswagen,Suran,2013,1.6 Comfortline 101cv,,Nafta,5,Manual,1.6,Monovolumen,151000,,,Hidráulica,Delantera,5,50 L,101,4178,1547,1660,2467 mm,9500
Volkswagen Bora 2.0 Trendline 115cv,Capital Federal,Volkswagen,Bora,2011,2.0 Trendline 115cv,Gris,Nafta,4,Manual,2.0,Sedán,180000,Sí,,Hidráulica,Delantera,5,55 L,116,4376,1446,1735,2518 mm,8700000
Renault Alaskan 2.3 Bit 16v Iconic At 4x4,Capital Federal,Renault,Alaskan,2023,2.3 Bit 16v Iconic At 4x4,Plateado,Diésel,4,Automática,2.3,Pick-Up,6500,Sí,Sí,Hidráulica,4x4,5,80 L,190,5230,1775,1850,3200 mm,47000000
Peugeot 308 1.6 Allure,Bs.As. G.B.A. Sur,Peugeot,308,2016,1.6 Allure,Blanco,Nafta,5,Manual,1.6,Hatchback,84000,Sí,Sí,Eléctrica,Delantera,5,60 L,115,4292,1518,1800,2608 mm,13000
Renault Koleos 2.5 Privilege 4x4 Mt,Bs.As. G.B.A. Sur,Renault,Koleos,2011,2.5 Privilege 4x4 Mt,Blanco,Nafta,5,Manual,2.5,Off-Road,197000,No,Sí,electronic,4x4,5,65 L,170,4520,1695,1855,2690 mm,11000
Fiat Palio 1.4 Attractive 85cv,Córdoba,Fiat,Palio,2012,1.4 Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,103000,,Sí,Hidráulica,Delantera,5,48 L,85,3875,1504,1922,4025 mm,13900000
Mercedes-Benz Sprinter 2.5 308 Furgon 3000 V1,Mendoza,,Sprinter,2007,2.5 308 Furgon 3000 V1,,Diésel,2,Manual,2.5,Furgón,20000,,Sí,Eléctrica,Trasera,2,80 L,115,4890,2365,1994,3025 mm,14000
Peugeot 207 1.4 Xr,Capital Federal,Peugeot,207,2011,1.4 Xr,,Nafta,4,Manual,1.4,Hatchback,160000,,Sí,Hidráulica,Delantera,5,50 L,75,3872,1441,1720,2540 mm,6000
Chery Tiggo 1.6 F2 Confort 4x2 125cv,Bs.As. G.B.A. Sur,Chery,Tiggo,2015,1.6 F2 Confort 4x2 125cv,Negro,Nafta,5,Manual,1.6,SUV,100000,Sí,Sí,Eléctrica,Delantera,5,57 L,125,4390,1705,1850,3220 mm,11000
Citroën Berlingo Multispace 1.6 Sx Hdi 92cv Am54,Córdoba,,Berlingo Multispace,2014,1.6 Sx Hdi 92cv Am54,Gris,Eléctrico,5,Manual,1.6,Monovolumen,138000,,Sí,Hidráulica,Delantera,5,60 L,92,4137,1858,1788,2685 mm,15900000
Chevrolet Captiva 2.4 Lt Mt Awd 167cv,Buenos Aires Interior,Chevrolet,Captiva,2014,2.4 Lt Mt Awd 167cv,,Nafta,5,Manual,2.4,SUV,126000,Sí,Sí,Eléctrica,Integral,7,65 L,167,4673,1756,1845,2660 mm,12500
Renault Duster Oroch 2.0 Privilege,Bs.As. G.B.A. Sur,Renault,Duster Oroch,2018,2.0 Privilege,Blanco,Nafta,4,,,,85000,,,,,,,,,,,,16850
Fiat Palio 1.4 Attractive 85cv,Capital Federal,Fiat,Palio,2016,1.4 Attractive 85cv,,Nafta,5,Manual,1.4,Hatchback,265000,,Sí,Hidráulica,Delantera,5,48 L,85,3875,1504,1922,4025 mm,9000
Volkswagen Saveiro 1.6 Gp Cd 101cv Pack High,Capital Federal,Volkswagen,Saveiro,2015,1.6 Gp Cd 101cv Pack High,,Nafta,2,Manual,1.6,Pick-Up,87000,,,Hidráulica,Delantera,2,55 L,101,4493,1497,1729,2753 mm,11700
Ford Kuga 2.5 Titanium At 4x4 (ku03),Bs.As. G.B.A. Sur,Ford,Kuga,2010,,Gris,Nafta,5,Automática,2.5,SUV,150000,Sí,,Asistida,Integral,5,58 L,200,4443,1680,1746,2589 mm,12500
Fiat 500 1.4 Cult 85cv,Bs.As. G.B.A. Norte,Fiat,500,2013,1.4 Cult 85cv,Rojo,Nafta,3,Manual,1.4,Hatchback,100000,No,Sí,Asistida,Delantera,4,40 L,85,3546,1492,1800,2570 mm,9500
Citroën C3 Tendance pack secure,Bs.As. G.B.A. Oeste,,C3,2015,Tendance pack secure,,Nafta,5,Manual,1.5,Hatchback,32800,,Sí,Eléctrica,Delantera,5,47 L,90,3850,1533,1645,2443 mm,12000000
